window_id,window_end_time,avg_power,max_power,reconstruction_error,threshold,rule_candidate,lstm_confirmed
1,2026-04-20 22:30:52,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
2,2026-04-20 22:30:57,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
3,2026-04-20 22:31:02,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
4,2026-04-20 22:31:07,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
5,2026-04-20 22:31:12,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
6,2026-04-20 22:31:17,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
7,2026-04-20 22:31:22,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
8,2026-04-20 22:31:27,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
9,2026-04-20 22:31:32,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
10,2026-04-20 22:31:37,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
11,2026-04-20 22:31:42,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
12,2026-04-20 22:31:47,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
13,2026-04-20 22:31:52,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
14,2026-04-20 22:31:58,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
15,2026-04-20 22:32:03,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
16,2026-04-20 22:32:08,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
17,2026-04-20 22:32:13,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
18,2026-04-20 22:32:18,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
19,2026-04-20 22:32:23,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
20,2026-04-20 22:32:28,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
21,2026-04-20 22:32:33,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
22,2026-04-20 22:32:38,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
23,2026-04-20 22:32:43,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
24,2026-04-20 22:32:48,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
25,2026-04-20 22:32:53,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
26,2026-04-20 22:32:58,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
27,2026-04-20 22:33:04,123.78,123.78,0.0006852727383375168,1.3001051247119904,0,0
